paper_id_new,paper_id,coder,data,data_standardized,sensor,brand,metric,metric_larger_category,metric_smaller_category,metric_IG_category,data_per_metric,data_metric_method,outcome,outcome_instrument,outcome_smaller_category,outcome_larger_category,analysis_and_results mm-oo:analysis:resultsig
41,60,edwin,V) Log data,V) Log data,V) touch screen,V) Microsoft PixelSense SDK,1) touch patterns,1) Log Data,1) Touch,1) individual,1) V,1) calculation,A) social regulation,A) Rogat and Linnenbrink-Garcia’s framework,"A) coordination, cognitive engagement",A) process,1-A: calculation: (84.2%)
42,61,steph,"III) Audio
I) Eye gaze
VI) EDA
IV) Kinesiology","III) Audio
I) Eye gaze
VI) Physiological
IV) Body language","III) kinect
I) eye-tracker
VI) wearable sensor 
IV) kinect","III) Kinect
I) Tobii eye-trackers
VI) Empatica E4
IV) Kinect","1) total movement across upper body joints and body parts
2) talking time","1) Body
2) Verbal","1) Gross Body Motion
2) Speech Participation","1) individual
2) individual","1) IV
2) III","1) calculation
2) calculation",A) collaboration quality,A) experimenter code,"A) coordination, communication",A) process,"1-A: correlation: sig
2-A: correlation: sig"
43,62,steph,I) Eye gaze,I) Eye gaze,I) eye-tracker,I) NS,1) EVT of spatial entropy,1) Gaze,1) Visual Attention,1) individual,1) I,1) calculation,"A) collaboration outcome
B) post-test score","A) NS
B) Pre-post test","A) performance
B) learning","A) product
B) product","1-A: regression: sig
1-B: regression: sig"
44,63,iulian,"II) Video
III) Audio
VI) EDA","II) Video
III) Audio
VI) Physiological","II) camera
III) microphone
VI) wearable sensor","II) 360 video camera MOORE system
III) 360 video camera MOORE system
VI) Empatica E3","1) facial expression
2) physiological simultaneous arousal","1) Head
2) Physiological","1) Facial Expressions
2) EDA","1) individual
2) group","1) II
2) VI","1) calculation
2) calculation","A) type of working activity
B) type of interaction","A) Researcher codes
B) Researcher codes","A) coordination
B) communication","A) process
B) process","1-A: calculation: nonsig
1-B: ANOVA: sig
2-A: calculation: nonsig
2-B: calculation: nonsig"
45,64,iulian,"III) Audio
IV) Kinesiology
V) Log data","III) Audio
IV) Body language
V) Log data","III) microphone
IV) wearable sensor
V) digital","III) NS
IV) NS 
V) NS","1) speaking turn features
2) acoustic features
3) head motion features
4) linguistic features","1) Verbal
2) Verbal
3) Head
4) Verbal","1) Speech Participation
2) Speech Features
3) Head Motion
4) Speech Content","1) group
2) individual
3) individual
4) individual","1) III
2) III
3) IV
4) V","1) calculation
2) calculation
3) calculation
4) calculation",A) artefact quality,A) Researcher codes,A) performance,A) product,1*2*3*4-A: unsup. machine learning: sig
46,66,bert,I) Eye gaze,I) Eye gaze,I) eye-tracker,I) Tobii,1) network features,1) Gaze,1) Visual Attention,1) individual,1) I,1) Other (network analyses),A) collaboration quality,"A) Meier, Spada and Rummel coding scheme","A) coordination, communication",A) process,"1-A: sup. machine learning: (85-100%)
1-A: correlation: sig"
47,69,steph,"IV) Kinesiology
VI) Kinesiology
III) Audio
V) Log data","IV) Body language
VI) Body language
III) Audio
V) Log data","IV) kinect
VI) kinect
III) microphone
V) arduino IDE ","IV) Logitech C920
VI) Microsoft Kinect
III) NS
V) Arduino","1) number of faces looking at screen
2) mean distance between learners 
3) mean distance between hands
4) mean hand movement speed
5) mean audio level
6) arduino measure of complexity
7) arduino active hardware blocks
8) arduino active software blocks
9) arduino active blocks
10) student work phases","1) Head
2) Body
3) Body
4) Body
5) Verbal
6) Log Data
7) Log Data
8) Log Data
9) Log Data
10) Log Data","1) Head Motion
2) Location
3) Hand Motion
4) Hand Motion
5) Speech Features
6) Task-related
7) Task-related
8) Task-related
9) Task-related
10) Task-related","1) group
2) individual
3) individual
4) individual
5) individual
6) individual
7) individual
8) individual
9) individual
10) individual","1) IV
2) VI
3) VI
4) VI
5) III
6) V
7) V
8) V
9) V
10) IV","1) calculation
2) calculation
3) calculation
4) calculation
5) calculation
6) other: Arduino
7) other: Arduino
8) other: Arduino
9) other: Arduino
10) other: experimenter coded",A) artefact quality,A) Researcher codes,A) performance,A) product,1*2*3*4*5*6*7*8*9*10-A: sup. machine learning: (24%)
48,70,steph,"III) Audio
V) Log data ","III) Audio
V) Log data ","III) microphone
V) digital pen","III) NS
V) Anoto","1) pause duration
2) energy
3) articulation rate
4) fundamental frequency
5) peak slope
6) spectral stationarity 
7) writing rate
8) writing area 
9) aspect ration
10) pressure
11) uninterrupted writing 
12) pause distribution/average pauses","1) Verbal
2) Verbal
3) Verbal
4) Verbal
5) Verbal
6) Verbal
7) Log Data
8) Log Data
9) Log Data
10) Log Data
11) Log Data
12) Log Data","1) Speech Participation
2) Speech Features
3) Speech Features
4) Speech Features
5) Speech Features
6) Speech Features
7) Text
8) Text
9) Text
10) Text
11) Text
12) Text","1) individual
2) individual
3) individual
4) individual
5) individual
6) individual
7) individual
8) individual
9) individual
10) individual
11) individual
12) individual","1) III
2) III
3) III
4) III
5) III
6) III
7) V
8) V
9) V
10) V
11) V
12) V","1) calculation
2) calculation
3) calculation
4) calcuation
5) calculation
6) calculation
7) calculation
8) calculation
9) calculation
10) Anoto
11) calculation
12) calculation","A) leadership
B) expertise","A) assigned
B) problem solving performance","A) group composition
B) group composition","A) condition
B) condition","1-A: t-test: sig
3-A: t-test: sig
5-A: t-test: sig
6-A: t-test: sig
5-B: t-test: sig
3-B: t-test: nonsig
1-B: t-test: nonsig
6-B: t-test: nonsig"
49,71,steph,"IV) Kinesiology
V) Log data
III) Audio","IV) Body language
V) Log data
III) Audio","IV) kinect
V) Arduino IDE
III) microphone","IV) NS
V) Arduino
III) microphone","1) faces looking at screen 
2) distance between learners
3) distance between hands
4) number of active blocks
5) variety of hardware blocks
6) variety of software blocks 
7) number of interconnections between blocks 
8) audio level","1) Head
2) Body
3) Body
4) Log Data
5) Log Data
6) Log Data
7) Log Data
8) Verbal","1) Head Motion
2) Location
3) Hand Motion
4) Task-related
5) Task-related
6) Task-related
7) Task-related
8) Speech Features","1) individual
2) individual
3) individual
4) individual
5) individual
6) individual
7) individual
8) individual","1) IV
2) IV
3) IV
4) V
5) V
6) V
7) V
8) III","1) calculation
2) calculation
3) calculation
4) Arduino
5) Arduino
6) Arduino
7) Arduino
8) calculation",A) collaborative problem solving ,A) researcher codes ,"A) coordination, performance","A) process, product","1+2-A: sup. machine learning: sig
8-A: sup. machine learning: sig"
50,73,steph,I) Eye gaze,I) Eye gaze,I) eye-tracker,I) Tobii Pro Glasses 2,1) joint visual attention,1) Gaze,1) Visual attention,1) group,1) I,1) calculation,"A) collaboration quality
B) cycles of collaboration
C) learning gains 
D) task performance","A) researcher codes
B) researcher analysis
C) pre-post test
D) correctness ","A) coordination, communication
B) coordination
C) learning
D) performance","A) process
B) process
C) product
D) product","1-A: correlation: sig
1-A: correlation: sig"
51,74,steph,I) Eye gaze,I) Eye gaze,I) eye-tracker,I) SMI Eye- Tracking Glasses with binocular pupil tracking at 30Hz,1) joint visual attention,1) Gaze,1) Visual attention,1) group,1) I,1) calculation,"A) collaboration quality
B) student performance 
C) learning gains ","A) researcher codes
B) correctness
C) pre-post test","A) coordination, communication
B) performance
C) learning","A) process
B) product
C) product","1-A: correlation: sig
1-B: regression: sig
1-C: correlation: sig"
52,75,steph,IV) Kinesiology,IV) Body language,IV) kinect,IV) Kinect,"1) joint movement
2) joint angle
3) dyad proximity","1) Body
2) Body
3) Body","1) Gross Body Motion
2) Gross Body Motion
3) Location","1) individual
2) individual
3) individual","1) IV
2) IV
3) IV","1) unsup. machine learning
2) unsup. machine learning
3) calculation","A) task performance
B) collaboration
C) learning gains","A) researcher codes
B) researcher codes
C) pre-post test","A) performance
B) coordination, communication
C) learning","A) product
B) process
C) product","1-A: correlation: sig
1-B: correlation: nonsig
2-A: correlation: sig / mixed
3-B: correlation: nonsig
3-A: correlation: sig"
53,78,iulian,"I) Eye gaze
II) Video","I) Eye gaze
II) Video","I) eye tracker
II) eye tracker","I) Tobii X1
II) Tobii X1 eye tracker","1) joint visual attention
2) cognitive load (from pupil size)","1) Gaze
2) Gaze","1) Visual Attention
2) Eye Physiology","1) individual
2) individual","1) I
2) II","1) calculation
2) calculation",A) learning gains,A) pre/post test,A) learning,A) product,"1-A: mediation: sig
2-A: mediation: nonsig"
54,80,iulian,VI) EDA,VI) Physiological,VI) wearable sensor,VI) Empatica S3,"1) signal matching 
2) instantaneous derivative matching 
3) directional agreement
4) pearson’s correlation coefficient 
5) fisher’s z-transform of pearson's correlation coefficient","1) Physiological
2) Physiological
3) Physiological
4) Physiological
5) Physiological","1) EDA
2) EDA
3) EDA
4) EDA
5) EDA","1) group
2) group
3) group
4) group
5) group","1) VI
2) VI
3) VI
4) VI
5) VI","1) calculation
2) calculation
3) calculation
4) calculation
5) calculation","A) collaborative will
B) collaborative learning product
C) dual learning gains","A) self report
B) researcher coded
C) researcher coded","A) interpersonal relationship / perception
B) performance
C) learning","A) process
B) product
C) product","1,3,4,5-A : regression: nonsig
2-A: regression: sig
1,3,4,5-B : regression: nonsig
2-B: regression: sig
1,2,4,5-C: regression: nonsig
3-C: regression: sig"
55,82,iulian,"II) Video
III) Audio","II) Video
III) Audio","II) camera
III) microphone","II) NS
III) NS","1) linguistic features
2) voice features
3) facial expression features","1) Verbal
2) Verbal
3) Head","1) Speech Content
2) Speech Features
3) Facial Expressions","1) individual
2) individual
3) individual","1) III
2) III
3) II","1) calculation
2) calculation: OpenSmile
3) calculation: OpenFace","A) perception of peer helpfulness
B) perception of peer understanding
C) perception of peer clarity","A) questionnaire
B) questionnaire
C) questionnaire","A) interpersonal relationship / perception
B) interpersonal relationship / perception
C) interpersonal relationship / perception","A) process
B) process
C) process","1+2+3-A: correlation: sig
1+2+3-B: correlation: sig
1+2+3-C: correlation: sig
1,2-A: correlation: nonsig
1,2-B: correlation: nonsig
1,2-C: correlation: nonsig
3-A: correlation: sig
3-B: correlation: sig
3-C: correlation: sig"
56,83,iulian,"II) Video
V) Log data","II) Video
V) Log data","II) camera
V) own application","II) NS
V) NS","1) type of activity done in task
2) amount of face and body movement
3) target for discussion partner","1) Log Data
2) Body
3) Log Data","1) Task-related
2) Gross Body Motion
3) Task-related","1) individual
2) individual
3) individual","1) V
2) II
3) II","1) calculation
2) calculation
3) calculation","A) task success score
B) subjective perception of collaboration","A) researcher coded
B) self report","A) performance
B) interpersonal relationship / perception","A) product
B) process","1*2*3-A: correlation: sig
1*2*3-B: correlation: sig"
57,84,iulian,"II) Video
III) Audio
VI) EDA","II) Video
III) Audio
VI) Physiological","II) kinect
III) kinect
VI) wearable sensor","II) NS
III) NS
VI) Empatica E4","1) signal matching
2) instantaneous derivative matching 
3) directional agreement 
4) pearson’s correlation coefficient
5) speech activity","1) Physiological
2) Physiological
3) Physiological
4) Physiological
5) Verbal","1) Combined
2) Combined
3) Combined
4) Combined
5) Speech Participation","1) group
2) group
3) group
4) group
5) group","1) VI
2) VI
3) VI
4) VI
5) III","1) calculation
2) calculation
3) calculation
4) calculation
5) calculation","A) learning gains
B) collaboration quality: dialogue management
C) collaboration quality: reaching consensus
D) colaboration quality: reciprocal interaction
E) collaboration quality: information pooling","A) pre/post tests
B) researcher coded
C) researcher coded
D) researcher coded
E) researcher coded","A) learning
B) communication
C) coordination
D) coordination
E) coordination","A) product
B) process
C) process
D) process
E) process","1,2,3-A: correlation : nonsig
4-A: correlation: sig
5-A: ANOVA : sig
1,2,4-B: correlation : nonsig
3-B: correlation: sig
1,2,4-C: correlation : nonsig
3-C: correlation: sig
1,2,4-D: correlation: nonsig
3-D: correlation: sig
1,2,3-E: correlation : nonsig
4-E: correlation: sig"
58,89,callie,"II) Video
III) Audio","II) Video
III) Audio","II) camera
III) microphone","II) NS
III) NS","1) head/body movement
2) (non)concurrent speaking length
3) speaking turn duration/number
4) interruption","1) Body
2) Verbal
3) Verbal
4) Verbal","1) Gross Body Motion
2) Speech Participation
3) Speech Participation
4) Speech Participation","1) individual
2) individual
3) group
4) group","1) II
2) III
3) III
4) III","1) unsup. machine learning
2) calculation
3) calculation
4) calculation",A) emerging leadership,A) researcher codes,A) group composition,A) condition,"1-A: sup. machine learning: sig
2+3+4-A: sup. machine learning: sig
1+2+3+4-A: sup. machine learning: mixed"
59,90,callie,II) Video,II) Video,II) camera,II) NS,1) visual field of attention on a person features,1) Gaze,1) Visual Attention,1) individual,1) II,1) sup. machine learning; calcuation,A) surveyed and observed emerging leadership,A) questionnaire (The SYstematic method for the Multiple Level Observation of Groups; General Leader Impression Scale) + researcher codes (GLIS-observers),A) group composition,A) condition,"1-A: correlation: mixed
1-A: sup. machine learning: sig"
60,92,callie,"III) Audio
V) Log data","III) Audio
V) Log data","III) Microphone
V) own application","III) Dev audio
V) Cmate","1) speech time and frequency
2) symmetry of speech among group
3) total number of touch actions
4) symmetry of touch actions among group","1) Verbal
2) Verbal
3) Log Data
4) Log Data","1) Speech Participation
2) Speech Participation
3) Touch 
4) Touch","1) individual
2) group
3) individual
4) group","1) III
2) III
3) V
4) V","1) calculation
2) calculation
3) calculation
4) calculation",A) collaboration,A) researcher codes (Meier et al.),"A) coordination, communication",A) process,1+2+3+4-A: sup. machine learning: sig: (85%)
61,93,callie,"III) Audio
V) Log data","III) Audio
V) Log data","III) Microphone
V) own application","III) NS
V) NS","1) speech quantity
2) physical participation quantity
3) number of active participants in group
4) verbal participation symmetry among group
5) physical participation symmetry among group","1) Verbal
2) Log Data
3) Verbal
4) Verbal
5) Log Data","1) Speech Participation
2) Task-related
3) Speech Participation
4) Speech Participation
5) Task-related","1) individual
2) individual
3) group
4) group
5) group","1) III
2) V
3) III
4) III
5) V","1) calculation
2) calculation
3) calculation
4) calculation
5) calculation",A) collaboration,A) researcher codes,A) communication,A) process,1+2+3+4-A: sup. machine learning: sig
62,94,callie,IV) Kinesiology,IV) Body language,IV) kinect,IV) Kinect,"1) time spent individually
2) time spent as a group
3) diversity of collaborative interactions
4) transition probabilities between collaborative state","1) Body
2) Body
3) Body
4) Body","1) Location
2) Location
3) Location
4) Location","1) group
2) group
3) group
4) group","1) IV
2) IV
3) IV
4) IV","1) calculation
2) calculation
3) calculation
4) calculation","A) technical ability
B) social ability
C) time spent in makerspace
D) reported frustration","A) teaching team assessment
B) teaching team assessment
C) N/A
D) survey","A) performance
B) interpersonal relationship / perception
C) performance
D) affective","A) product
B) process
C) product
D) process","1-A: correlation: mixed
2-A: correlation: mixed
2-B: correlation: mixed
4-A: correlation: mixed
4-C: correlation: mixed
4-D: correlation: mixed"
63,96,bert,VI) EDA,VI) Physiological,VI) Electrodes,VI) Shimmer 3GSR ,1) physiological synchrony ,1) Physiological,1) EDA,1) group,1) VI,1) calculation (Multidimensional Recurrence Quantification Analysis; MdRQA)),"A) judgement of confidence
B) mental effort
C) task difficulty
D) task interest
E) emotional valence
F) perceived group performance
G) objective group performance score","A) questionnaire
B) questionnaire
C) questionnaire
D) questionnaire
E) questionnaire
F) questionnaire
G) performance score","A) affective
B) cognitive engagement
C) cognitive engagement
D) cognitive engagement
E) affective
F) performance
G) performance","A) process
B) process
C) process
D) process
E) process
F) product
G) product","1-A: regression: nonsig
1-B: regression: sig: (positive)
1-C: regression: nonsig
1-D: regression: nonsig
1-E: regression: nonsig
1-F: regression: nonsig
1-G: regression: nonsig"
64,97,bert,"VI) EDA
VII) ECG
X) Facial EMG","VI) Physiological
VII) Physiological
X) Facial expression","VI) Electrodes
VII) Electrodes
X) Electrodes","VI) BIOPAC MP150 
VII) BIOPAC EL504
X) BIOPAC EL254S ","1) EDA synchrony
2) smiling synchrony
3) heart rate sychrony","1) Physiological
2) Head
3) Physiological","1) EDA
2) Facial Expressions
3) Heart","1) group
2) group
3) group","1) VI
2) X
3) VII","1) Cross-Recurrence Quantification Analysis (CRQA)
2) Cross-Recurrence Quantification Analysis (CRQA)
3) Cross-Recurrence Quantification Analysis (CRQA)","A) team cohesion
B) routine choice","A) questionnaire
B) researcher codes","A) interpersonal relationship / perception
B) coordination","A) process
B) process","1-A: regression: sig: (negative)
2-A: regression: sig
2-B: regression: sig"
65,99,bert,XI) EEG,XI) Physiological,XI) EEG,XI) emotiv EPOC EEG headset,1) brain synchrony,1) Physiological,1) Brain,1) individual,1) XI,1) calculation,"A) engagement
B) social dynamics","A) questionnaire
B) questionnaire","A) cognitive engagement
B) interpersonal relationship / perception","A) process
B) process","1-A: regression: sig
1-B: regression: sig"
66,101,bert,"III) Audio
II) Video
IV) Kinesiology","III) Audio
II) Video
IV) Body language","III) microphone
II) kinect RGB
IV) kinect ","III) Kinect
II) Kinect
IV) Kinect","1) upper body agitation
2) hand agitation
3) head orientation
4) speaking time/turns","1) Body
2) Body
3) Head
4) Verbal","1) Gross Body Motion
2) Hand Motion
3) Head Motion
4) Speech Participation","1) individual
2) individual
3) individual
4) individual","1) IV
2) IV
3) II
4) III","1) calculation
2) calculation
3) calculation
4) calculation (speech diarization)",A) agreement,A) expert rating,A) coordination,A) process,1+2+3+4-A: sup. machine learning: sig: (75%)
67,103,bert,"VI) EDA
VII) ECG","VI) Physiological
VII) Physiological","VI) wearable sensor
VII) wearable sensor","VI) Huixin Psychorus
VII) Huixin Psychorus","1) EDA synchrony
2) heart rate sychrony","1) Physiological
2) Physiological","1) EDA
2) Heart","1) group
2) group","1) VI
2) VII","1) calculation (SSI)
2) calculation (SSI)",A) collaboration quality,A) researcher codes,"A) coordination, cognitive engagement",A) process,"1-A: sup. machine learning: sig
2-A: sup. machine learning: nonsig"
68,104,bert,I) Eye gaze,I) Eye gaze,I) Tobii 4C,I) Tobii,1) shared gaze,1) Gaze,1) Visual Attention,1) individual,1) I,1) calculation,"A) cognitive load
B) collaboration quality
C) task performance
D) gaze overlap","A) questionnaire
B) self-report
C) Completion time, correctness
D) calculation","A) cognitive engagement
B) coordination, communication
C) performance
D) coordination","A) process
B) process
C) product
D) process","1-A: anova: nonsig
1-B: anova: sig
1-C: anova: sig
1-D: anova: sig"
69,105,bert,II) Video,II) Video,II) camera,II) Canon Vixia HV30,1) body synchronization,1) Body,1) Gross Body Motion,1) group,1) II,1) calculation (optic flow analysis),"A) cooperation
B) cultural style matching
C) language style matching
D) colaughter","A) task outcome (prisoner's dilemna)
B) video coding
C) video coding
D) video coding","A) interpersonal relationship / perception
B) group composition
C) group composition
D) interpersonal relationship / perception","A) process
B) condition
C) condition
D) process","1-A: regression: nonsig
1-B: regression: sig: (neg)
1-C: regression: sig: (neg)
1-D: regression: sig"
70,174,iulian,"III) Audio
V) Log data","III) Audio
V) Log data","III) Microphone
V) Log files","III) NS
V) NS","1) speech time
2) prosodic speech features
3) movement of objects","1) Verbal
2) Verbal
3) Log Data","1) Speech Participation
2) Speech Features
3) Task-related","1) individual
2) individual
3) individual","1) III
2) III
3) V","1) calculation
2) calculation (OpenSMILE)
3) calculation",A) collaboration quality,A) self made researcher coding scheme (4-scale ranging between collaboration and cooperation),A) coordination,A) process,1*2*3-A: sup. machine learning: sig
71,181,iulian,IV) Kinesiology,IV) Body language,IV) video camera array,IV) NS,1) gesture type and location,1) Body,1) Hand Motion,1) individual,1) IV,1) calculation,"A) frequency of utterances
B) subjective workload","A) calculation
B) survey","A) communication
B) cognitive engagement","A) process
B) process","1-A: ANOVA: sig
1-B: ANOVA: sig"
72,182,iulian,"II) Video
III) Audio","II) Video
III) Audio","II) camera
III) microphone","II) NS
III) NS","1) speaking time
2) attention received per person
3) attention given by person","1) Verbal
2) Gaze
3) Gaze","1) Speech Participation
2) Visual Attention
3) Visual Attention","1) individual
2) individual
3) individual","1) III
2) II
3) II","1) calculation
2) calculation
3) calculation",A) extraversion rating,A) Big Marker Five Scale (? researcher coded ?),A) group composition,A) condition,1*2*3-A: sup. machine learning: sig
73,503,steph,I) Eye gaze,I) Eye gaze,I) eye-tracker,I) Applied Science Laboratories (ASL) EyeVision system,1) gaze overlap,1) Gaze,1) Visual Attention,1) group,1) I ,1) regression,A) referential form,A) self-made researcher codes,A) communication,A) process,1-A: regression: nonsig
74,506,iulian,III) Audio,III) Audio,III) microphones,III) NS,"1) duration of speech by each student
2) duration in which each student was only speaker
3) duration of overlapping speech from pairs of students
4) duration of overlapping speech from all people
5) duration of silence for all people
6) prosodic and tone features","1) Verbal
2) Verbal
3) Verbal
4) Verbal
5) Verbal
6) Verbal","1) Speech Participation
2) Speech Participation
3) Speech Participation
4) Speech Participation
5) Speech Participation
6) Speech Features","1) individual
2) individual
3) individual
4) individual
5) individual
6) individual","1) III
2) III
3) III
4) III
5) III
6) III","1) calculation
2) calculation
3) calculation
4) calculation
5) calculation
6) calculation",A) collaboration quality,A) video coded scale of collaboration,A) coordination,A) process,1*2*3*4*5*6-A: sup. machine learning: nonsig
75,(Dis)Engagement Matters: Identifying Efficacious Learning Practices with Multimodal Learning Analytics,,"IV) Kinesiology
II) Video",,"IV) Kinect
II) camera","IV) Microsoft Kinect
II) NS","1) clustered hand/wrist movement
2) object manipulation","1) Body
2) Body","1) Hand Motion
2) Task-related",,"1) IV
2) II",,A) Learning gains,A) pre-post test (references to  principles or mechanisms that confer stability to three example structures) ,A) learning,A) product,1-A: sup. machine learning: sig: (ACC: 76%)
76,Unraveling Students’ Interaction Around a Tangible Interface Using Multimodal Learning Analytics,,"IV) Kinesiology
V) Log data",,"IV) Kinect
V) Own application","IV) Microsoft Kinect
V) Created","1) amount of exploration
2) types of exploration
3) amount of movement
4) type of movement
5) Body synchronization
6) Body distance","1) Body
2) Body
3) Body","1) Task-related
2)  Task-related
3) Gross Body Motion",,"1) V
2) V
3) IV
4) IV
5) IV
6) IV",,"A) learning gains
B) learning gain group (high or low)
C) leadership (driver/passenger)","A) pre-post test
B) pre-post test
C) coding","A) Learning
B) Learning
C) Interpersonal relationship","A) product
B) product
C) process","1-A: correlation: nonsig
2-A: correlation: mixed
3-A: correlation: nonsig
4-A: correlation: sig
4-C: ANOVA: sig
5-A: ANOVA: nonsig
6-A: correlation: nonsig
1,2,3,4,5,6-B: sup. machine learning: sig: (ACC: 100%)"
77,Leveraging mobile eye-trackers to capture joint visual attention in co-located collaborative learning groups,,I) Eye gaze,,I) eyetracker,I) Tobii Glasses,"1) Joint visual Attention
2) Cycles of collaborative / individual work","1) Gaze
2)","1) Visual Attention
2) Task-related",,"1) I
2) I",,"A) learning gains
B) collaboration quality
C) task performance","A) pre-post test
B) Meier Spada Rummel coding scheme
C) number of mazes solved","A) Learning
B) Coordination
C) Performance","A) product
B) process
C) product","1-B: correlation: sig 
2-B: correlation: sig 
2-A: correlation: sig 
2-C: correlation: sig "
78,Does Seeing One Another’s Gaze Affect Group Dialogue? A Computational Approach,,"I) Eye gaze
III) Audio",,"I) eye-tracker
III) microphone","I) Tobii X1
III) NS","1) Joint visual attention
2) simple linguistic features
3) convergence (of linguistic styles)
4) coherence","1) Gaze
2) Verbal","1) Visual Attention
2) Speech Participation",,"1) I
2) III
3) III
4) III",,"A) Learning 
B) Collaboration","A) pre-post test
B) Coding scheme","A) Learning
B) Coordination","A) product
B) process","4-A: correlation: sig
4-B: ANOVA: sig
2-A: sup. machine learning: (75%)"
79,Real-time mutual gaze perception enhances collaborative 4 learning and collaboration quality,,"I) Eye gaze
II) Video",,"I) eye tracker
II) eye tracker","I) Tobii X1
II) Tobii X1 eye tracker","1) joint visual attention
2) cognitive load (from pupil size)","1) Gaze
2) Physiological","1) Visual Attention
2）",,"1) I
2) II",,A) learning gains,A) pre/post test,A) Learning,A) product,"1-A: mediation: sig
2-A: mediation: nonsig"
80,Challenging Joint Visual Attention as a Proxy for Collaborative Performance,22,"I) Eye Gaze
III) Audio
V) Log Data",,"I) eye-tracker
III) computer system audio
V) NS","I) SMI RED 250 Eye-Trackers 250Hz
III) NS 
V) NS","1) Joint Visual Attention
2) Joint Mental Effort 
3) Dialogue","1) Gaze
2) Gaze
3) Speech","1) visual attention
2) visual attention
3) Speech Features ",,"1) I
2) I
3) III
4) V",,A) learning performance,A) task outcome,A) product,A) product,"1-A: ANOVA: sig 
2-A: ANOVA: sig"
81,Deep neural networks for collaborative learning analytics: Evaluating team collaborations using student gaze point prediction,,I) Eye Gaze,,"I) video camera, 
gaze-tracker (deep neural networks)","I) Microsoft Kinect, Gaze following framework (GazeFollow)",1) Joint Visual Attention,1) Gaze,1) Visual Attention,,1) I,,A) learning gains,A) post test,A) product,A) product,1-A: correlation: sig
82,"Utilizing Interactive Surfaces to Enhance Learning, Collaboration and Engagement: Insights from Learners’ Gaze and Speech",,"I) Eye Gaze
III) Audio
V) Log data",,"I) eye-tracker
III) NS
V) application","I) SMI and TOBII eye-tracking glasses of 60Hz
III) NS
V) NS","1) individual gaze (transition from image to text)
2) gaze similarity (collaborative gaze)
3) gaze similarity (gaze transition similarity)
4) speech","1) Gaze
2) Gaze
3) Gaze
4) Verbal","1) Visual Attention
2) Visual Attention
3) Visual Attention
4) Speech Participation",,"1) I
2) I
3) I
4) III",,"A) learning gains (five posters, game on interactive display, gamified quiz - collaborative/competitive)
B) game performance","A1) pre test
A2) post test
A3) final post test
B) experience points",A) Learning,A) product,"1-A1: correlation: sig 
1-A2: correlation: sig 
2-A2: correlation: sig 
2,4-A2: ANCOVA: sig "
83,A Multimodal Exploration of Engineering Students Emotions and Electrodermal Activity in Design Activities,,VI) EDA,,VI) wristband,VI) Empatica E3 EDA sensor,1) mean range-corrected EDA responses,1) Physiological,1) EDA,,1) VI,,"A) topic emotions - negative
B) topic emotions - positive","A) pre post self report survey (Topic Emotions Scale)
B) pre post self report survey (Topic Emotions Scale)",A) cognitive?,A) process?,1-A: corrleation: sig
84,"Multimodal, Multiparty Modeling of Collaborative Problem Solving Performance",,"I) Eye Gaze
II) Video
III) Audio",,"I) eye-tracker
II) web camera
II) Emotient
III) headset","I) Tobii 4C
II) NS
II) NS","1) gaze features (fixation dispersion, number of fixations and mean fixation duration, mean saccade amplitude, joint attention)
2) acoustic-prosodic information (fundamental frequency (pitch), loudness (energy), center frequency and amplitude of the first through third formants, harmonics to noise ratio, jitter, and shimmer)
3) facial features (face area, positive and negative valence, expressivity, face/upper body motion)
4) task content feature","1) Gaze
2) Verbal
3) Head
4) Log Data","1) Visual Attention
2) Speech Features
3) Facial Expressions
4) Task Related",,"1) I
2) III
3) III",,A) task performance,A) AUROC,A) performance,A) product,"1,2,3,4-A: AUROC: sig: (71%)
1-A: AUROC: sig: 0.62
2-A: AUROC: sig: 0.54
3-A: AUROC: sig: 0.61
4-A: AUROC: sig: 0.67"
85,Temporal analysis of multimodal data to predict collaborative learning outcomes,,"I) Eye Gaze
III) Audio 
V) Log data ",,"I) eye-tracker 
III) microphone
V) NS","I) SMI Red
III) NS
V) NS","1) Gaze
2) Entropy
3) Similarity
4) Cognitive load
5) Auto-correlation coefficient
6) Energy
7) Shape of envelope
8) Linear predictive coding
9) Dialog
10)  correct/incorrect/hint feedbacks","1) Gaze
2) Gaze
3) Gaze
4) Gaze
5) Verbal
6) Verbal
7) Verbal
8) Verbal
9) Verbal
10) Log Data","1) Visual Attention
2) Visua Attention
3) Visual Attention
4) Eye Physiology
5) Speech Features
6) Speech Features
7) Speech Features
8) Speech Features
9) Speech Content
10) Task Related",,"1) I 
2) I
3) I
4) I
5) III
6) III
7) III
8) III
9) III
10) V",,A) Learning gains,A)  pre -post test ,A) Learning ,A) product,"9-A: correlation: sig
10-A: correlation: sig
1-A: correlation: nonsig
2-A: correlation: nonsig
3-A: correlation: nonsig
4-A : correlation: nonsig
5-A: correlation: nonsig
6-A: correlation: nonsig
7-A: correlation: nonsig
8-A: correlation: nonsig"
