paper_id,paper_title,metric,metric_smaller_category,metric_larger_category,outcome,outcome_smaller_category,outcome_larger_category,outcome_instrument,analysis_method,analysis_result
32,Automatic identification of experts and performance prediction in the multimodal math data corpus through analysis of speech interaction. ,probability of transitioning from a group vocalisation to speaker vocalisation,speech participation,verbal,identity of the expert,group composition,condition,"student with the highest cumulative score of points assigned to correctly and incorrectly solved problems, weighted according a discrete diffculty level scale",sup. machine learning,sig (acc
32,Automatic identification of experts and performance prediction in the multimodal math data corpus through analysis of speech interaction. ,probability of transitioning from a speaker vocalisation to a group vocalisation,speech participation,verbal,identity of the expert,group composition,condition,"student with the highest cumulative score of points assigned to correctly and incorrectly solved problems, weighted according a discrete diffculty level scale",sup. machine learning,sig (acc
32,Automatic identification of experts and performance prediction in the multimodal math data corpus through analysis of speech interaction. ,uncertainty in the transitions (turn taking) originating from a speaker,speech participation,verbal,identity of the expert,group composition,condition,"student with the highest cumulative score of points assigned to correctly and incorrectly solved problems, weighted according a discrete diffculty level scale",sup. machine learning,sig (acc
32,Automatic identification of experts and performance prediction in the multimodal math data corpus through analysis of speech interaction. ,transition probability between types of vocalisations,speech participation,verbal,task performance,performance,product,correct vs incorrect solutions,sup. machine learning,sig (f1
33,Unraveling Students' Interaction around a Tangible Interface Using Multimodal Learning Analytics.,amount of exploration,task-related,activity log,learning gains,learning,product,pre-post test,correlation,not sig
33,Unraveling Students' Interaction around a Tangible Interface Using Multimodal Learning Analytics.,amount of exploration,task-related,activity log,learning gain group (high or low),learning,product,pre-post test,sup. machine learning,sig (acc
33,Unraveling Students' Interaction around a Tangible Interface Using Multimodal Learning Analytics.,types of exploration,task-related,activity log,learning gains,learning,product,pre-post test,correlation,mixed
33,Unraveling Students' Interaction around a Tangible Interface Using Multimodal Learning Analytics.,types of exploration,task-related,activity log,learning gain group (high or low),learning,product,pre-post test,sup. machine learning,sig (acc
33,Unraveling Students' Interaction around a Tangible Interface Using Multimodal Learning Analytics.,amount of movement,gross body motion,body,learning gains,learning,product,pre-post test,correlation,not sig
33,Unraveling Students' Interaction around a Tangible Interface Using Multimodal Learning Analytics.,amount of movement,gross body motion,body,learning gain group (high or low),learning,product,pre-post test,sup. machine learning,sig (acc
33,Unraveling Students' Interaction around a Tangible Interface Using Multimodal Learning Analytics.,type of movement,gross body motion,body,learning gains,learning,product,pre-post test,correlation,sig
33,Unraveling Students' Interaction around a Tangible Interface Using Multimodal Learning Analytics.,type of movement,gross body motion,body,leadership (driver/passenger),group composition,condition,coding,anova,sig
33,Unraveling Students' Interaction around a Tangible Interface Using Multimodal Learning Analytics.,type of movement,gross body motion,body,learning gain group (high or low),learning,product,pre-post test,sup. machine learning,sig (acc
33,Unraveling Students' Interaction around a Tangible Interface Using Multimodal Learning Analytics.,body synchronization,gross body motion,body,learning gains,learning,product,pre-post test,anova,not sig
33,Unraveling Students' Interaction around a Tangible Interface Using Multimodal Learning Analytics.,body synchronization,gross body motion,body,learning gain group (high or low),learning,product,pre-post test,sup. machine learning,sig (acc
33,Unraveling Students' Interaction around a Tangible Interface Using Multimodal Learning Analytics.,body distance,location,body,learning gains,learning,product,pre-post test,correlation,not sig
33,Unraveling Students' Interaction around a Tangible Interface Using Multimodal Learning Analytics.,body distance,location,body,learning gain group (high or low),learning,product,pre-post test,sup. machine learning,sig (acc
39,Unpacking the relationship between existing and new measures of physiological synchrony and collaborative learning: a mixed methods study,physiological synchrony (pc),electrodermal activity,physiological,learning gains,learning,product,pre-post test,correlation,sig r = 0.35
39,Unpacking the relationship between existing and new measures of physiological synchrony and collaborative learning: a mixed methods study,physiological synchrony (da),electrodermal activity,physiological,collaboration quality,coordination,product,"meier, spada and rummel coding scheme",correlation,sig r =0.47
39,Unpacking the relationship between existing and new measures of physiological synchrony and collaborative learning: a mixed methods study,physiological synchrony (da),electrodermal activity,physiological,collaboration quality,communication,product,"meier, spada and rummel coding scheme",correlation,sig r =0.47
39,Unpacking the relationship between existing and new measures of physiological synchrony and collaborative learning: a mixed methods study,cycles of physiological synchrony (pc),electrodermal activity,physiological,collaboration quality,coordination,product,"meier, spada and rummel coding scheme",correlation,sig r = 0.57
39,Unpacking the relationship between existing and new measures of physiological synchrony and collaborative learning: a mixed methods study,cycles of physiological synchrony (pc),electrodermal activity,physiological,collaboration quality,communication,product,"meier, spada and rummel coding scheme",correlation,sig r = 0.57
39,Unpacking the relationship between existing and new measures of physiological synchrony and collaborative learning: a mixed methods study,cycles of physiological synchrony (pc),electrodermal activity,physiological,learning gains,learning,product,pre-post test,correlation,sig r = 0.47
40,Modeling Team-level Multimodal Dynamics during Multiparty Collaboration,speech rate,audio features,verbal,perceived collaboration quality,interpersonal relationship / perception,process,questionnaire,unsup. machine learning,ns
40,Modeling Team-level Multimodal Dynamics during Multiparty Collaboration,speech rate,audio features,verbal,perceived collaboration quality,coordination,product,questionnaire,unsup. machine learning,ns
40,Modeling Team-level Multimodal Dynamics during Multiparty Collaboration,speech rate,audio features,verbal,perceived valence,affective state,process,5-point likert scale,unsup. machine learning,ns
40,Modeling Team-level Multimodal Dynamics during Multiparty Collaboration,speech rate,audio features,verbal,perceived arousal,affective state,process,5-point likert scale,unsup. machine learning,ns
40,Modeling Team-level Multimodal Dynamics during Multiparty Collaboration,speech rate,audio features,verbal,task performance,performance,product,trophies earned,unsup. machine learning,ns
40,Modeling Team-level Multimodal Dynamics during Multiparty Collaboration,face and upper body movement,gross body motion,body,perceived collaboration quality,interpersonal relationship / perception,process,questionnaire,unsup. machine learning,ns
40,Modeling Team-level Multimodal Dynamics during Multiparty Collaboration,face and upper body movement,gross body motion,body,perceived collaboration quality,coordination,product,questionnaire,unsup. machine learning,ns
40,Modeling Team-level Multimodal Dynamics during Multiparty Collaboration,face and upper body movement,gross body motion,body,perceived valence,affective state,process,5-point likert scale,unsup. machine learning,ns
40,Modeling Team-level Multimodal Dynamics during Multiparty Collaboration,face and upper body movement,gross body motion,body,perceived arousal,affective state,process,5-point likert scale,unsup. machine learning,ns
40,Modeling Team-level Multimodal Dynamics during Multiparty Collaboration,face and upper body movement,gross body motion,body,task performance,performance,product,trophies earned,unsup. machine learning,ns
40,Modeling Team-level Multimodal Dynamics during Multiparty Collaboration,galvanic skin response,electrodermal activity,physiological,perceived collaboration quality,interpersonal relationship / perception,process,questionnaire,unsup. machine learning,ns
40,Modeling Team-level Multimodal Dynamics during Multiparty Collaboration,galvanic skin response,electrodermal activity,physiological,perceived collaboration quality,coordination,product,questionnaire,unsup. machine learning,ns
40,Modeling Team-level Multimodal Dynamics during Multiparty Collaboration,galvanic skin response,electrodermal activity,physiological,perceived valence,affective state,process,5-point likert scale,unsup. machine learning,ns
40,Modeling Team-level Multimodal Dynamics during Multiparty Collaboration,galvanic skin response,electrodermal activity,physiological,perceived arousal,affective state,process,5-point likert scale,unsup. machine learning,ns
40,Modeling Team-level Multimodal Dynamics during Multiparty Collaboration,galvanic skin response,electrodermal activity,physiological,task performance,performance,product,trophies earned,unsup. machine learning,ns
41,Leveraging Mobile Eye-Trackers to Capture Joint Visual Attention in Co-Located Collaborative Learning,joint visual attention,gaze / eye direction,gaze,collaboration quality,coordination,product,meier spada rummel coding scheme,correlation,sig r = 0.341
41,Leveraging Mobile Eye-Trackers to Capture Joint Visual Attention in Co-Located Collaborative Learning,joint visual attention,gaze / eye direction,gaze,collaboration quality,communication,product,meier spada rummel coding scheme,correlation,sig r = 0.341
41,Leveraging Mobile Eye-Trackers to Capture Joint Visual Attention in Co-Located Collaborative Learning,cycles of collaborative / individual work,gaze / eye direction,gaze,collaboration quality,coordination,product,meier spada rummel coding scheme,correlation,sig r = 0.347
41,Leveraging Mobile Eye-Trackers to Capture Joint Visual Attention in Co-Located Collaborative Learning,cycles of collaborative / individual work,gaze / eye direction,gaze,collaboration quality,communication,product,meier spada rummel coding scheme,correlation,sig r = 0.347
41,Leveraging Mobile Eye-Trackers to Capture Joint Visual Attention in Co-Located Collaborative Learning,cycles of collaborative / individual work,gaze / eye direction,gaze,learning gains,learning,product,pre-post test,correlation,sig r = 0.398
41,Leveraging Mobile Eye-Trackers to Capture Joint Visual Attention in Co-Located Collaborative Learning,cycles of collaborative / individual work,gaze / eye direction,gaze,task performance,performance,product,number of mazes solved,correlation,sig r = 0.355
42,Gaze quality assisted automatic recognition of social contexts in collaborative Tetris,gaze location,gaze / eye direction,gaze,social context,group composition,condition,experimental set-up,sup. machine learning,sig (acc
42,Gaze quality assisted automatic recognition of social contexts in collaborative Tetris,gaze saccade,eye motion,gaze,social context,group composition,condition,experimental set-up,sup. machine learning,sig (acc
42,Gaze quality assisted automatic recognition of social contexts in collaborative Tetris,gaze fixation,gaze / eye direction,gaze,social context,group composition,condition,experimental set-up,sup. machine learning,sig (acc
42,Gaze quality assisted automatic recognition of social contexts in collaborative Tetris,player actions,task-related,activity log,social context,group composition,condition,experimental set-up,sup. machine learning,sig (acc
42,Gaze quality assisted automatic recognition of social contexts in collaborative Tetris,zoid acceleration,task-related,activity log,social context,group composition,condition,experimental set-up,sup. machine learning,sig (acc
43,Acoustic-Prosodic Entrainment and Rapport in Collaborative Learning Dialogues,proximity,audio features,verbal,rapport level,interpersonal relationship / perception,process,human coding validated with self-reports,correlation,mixed (max r 0.842)
43,Acoustic-Prosodic Entrainment and Rapport in Collaborative Learning Dialogues,convergence,audio features,verbal,rapport level,interpersonal relationship / perception,process,human coding validated with self-reports,correlation,mixed (max r 0.741)
43,Acoustic-Prosodic Entrainment and Rapport in Collaborative Learning Dialogues,synchrony,audio features,verbal,rapport level,interpersonal relationship / perception,process,human coding validated with self-reports,correlation,mixed (max r 0.634)
44,Can Eye Help You?: Effects of Visualizing Eye Fixations on Remote Collaboration Scenarios for Physical Tasks,gaze location,gaze / eye direction,gaze,quality of remote collaboration,performance,product,seven-point scale questionnaire,wilcoxon signed ranks test,sig
44,Can Eye Help You?: Effects of Visualizing Eye Fixations on Remote Collaboration Scenarios for Physical Tasks,gaze location,gaze / eye direction,gaze,task completion time,performance,product,timer,wilcoxon signed ranks test,sig
46,Using Mobile Eye-Trackers to Unpack the Perceptual Benefits of a Tangible User Interface for Collaborative Learning,joint visual attention,gaze / eye direction,gaze,task performance,performance,product,calculation,correlation,sig (r = 0.59)
46,Using Mobile Eye-Trackers to Unpack the Perceptual Benefits of a Tangible User Interface for Collaborative Learning,joint visual attention,gaze / eye direction,gaze,learning gains,learning,product,pre post test,correlation,sig (r = 0.42)
47,Personality classification and behaviour interpretation: An approach based on feature categories,22 intra-personal features,facial expression,head,personality traits,group composition,condition,self-reported survey,regression,73.53%
47,Personality classification and behaviour interpretation: An approach based on feature categories,22 intra-personal features,facial expression,head,social impressions,interpersonal relationship / perception,process,questionnaire,regression,76.47%
47,Personality classification and behaviour interpretation: An approach based on feature categories,22 intra-personal features,facial expression,head,personality traits,group composition,condition,self-reported survey,regression,73.53%
47,Personality classification and behaviour interpretation: An approach based on feature categories,22 intra-personal features,facial expression,head,social impressions,interpersonal relationship / perception,process,questionnaire,regression,76.47%
47,Personality classification and behaviour interpretation: An approach based on feature categories,9 dyadic features,facial expression,head,personality traits,group composition,condition,self-reported survey,regression,60.54%
47,Personality classification and behaviour interpretation: An approach based on feature categories,9 dyadic features,facial expression,head,social impressions,interpersonal relationship / perception,process,questionnaire,regression,66.42%
47,Personality classification and behaviour interpretation: An approach based on feature categories,9 dyadic features,facial expression,head,personality traits,group composition,condition,self-reported survey,regression,60.54%
47,Personality classification and behaviour interpretation: An approach based on feature categories,9 dyadic features,facial expression,head,social impressions,interpersonal relationship / perception,process,questionnaire,regression,66.42%
47,Personality classification and behaviour interpretation: An approach based on feature categories,6 one vs all features,audio features,verbal,personality traits,group composition,condition,self-reported survey,regression,65.69%
47,Personality classification and behaviour interpretation: An approach based on feature categories,6 one vs all features,audio features,verbal,social impressions,interpersonal relationship / perception,process,questionnaire,regression,73.53%
47,Personality classification and behaviour interpretation: An approach based on feature categories,6 one vs all features,audio features,verbal,personality traits,group composition,condition,self-reported survey,regression,65.69%
47,Personality classification and behaviour interpretation: An approach based on feature categories,6 one vs all features,audio features,verbal,social impressions,interpersonal relationship / perception,process,questionnaire,regression,73.53%
48,Investigating Automatic Dominance Estimation in Groups From Visual Attention and Speaking Activity,audio energy features,audio features,verbal,visual dominance ratio,group composition,condition,manual annotation of videos,sup. machine learning,79.4%
48,Investigating Automatic Dominance Estimation in Groups From Visual Attention and Speaking Activity,visual focus of attention features,gaze / eye direction,gaze,visual dominance ratio,group composition,condition,manual annotation of videos,sup. machine learning,79.4%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,card movements,task-related,activity log,collaboration,coordination,product,manual annotation of videos,sup. machine learning,96%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,card movements,task-related,activity log,collaboration,communication,product,manual annotation of videos,sup. machine learning,96%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,card movements,task-related,activity log,cooperation,coordination,product,manual annotation of videos,sup. machine learning,96%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,card movements,task-related,activity log,cooperation,communication,product,manual annotation of videos,sup. machine learning,96%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,card movements,task-related,activity log,collaboration,coordination,product,manual annotation of videos,sup. machine learning,86%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,card movements,task-related,activity log,collaboration,communication,product,manual annotation of videos,sup. machine learning,86%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,card movements,task-related,activity log,assymetric contribution,coordination,product,manual annotation of videos,sup. machine learning,86%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,card movements,task-related,activity log,cooperation,coordination,product,manual annotation of videos,sup. machine learning,86%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,card movements,task-related,activity log,cooperation,communication,product,manual annotation of videos,sup. machine learning,86%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,scrolling,task-related,activity log,collaboration,coordination,product,manual annotation of videos,sup. machine learning,96%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,scrolling,task-related,activity log,collaboration,communication,product,manual annotation of videos,sup. machine learning,96%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,scrolling,task-related,activity log,cooperation,coordination,product,manual annotation of videos,sup. machine learning,96%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,scrolling,task-related,activity log,cooperation,communication,product,manual annotation of videos,sup. machine learning,96%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,scrolling,task-related,activity log,collaboration,coordination,product,manual annotation of videos,sup. machine learning,86%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,scrolling,task-related,activity log,collaboration,communication,product,manual annotation of videos,sup. machine learning,86%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,scrolling,task-related,activity log,assymetric contribution,coordination,product,manual annotation of videos,sup. machine learning,86%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,scrolling,task-related,activity log,cooperation,coordination,product,manual annotation of videos,sup. machine learning,86%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,scrolling,task-related,activity log,cooperation,communication,product,manual annotation of videos,sup. machine learning,86%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,zooming,task-related,activity log,collaboration,coordination,product,manual annotation of videos,sup. machine learning,96%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,zooming,task-related,activity log,collaboration,communication,product,manual annotation of videos,sup. machine learning,96%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,zooming,task-related,activity log,cooperation,coordination,product,manual annotation of videos,sup. machine learning,96%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,zooming,task-related,activity log,cooperation,communication,product,manual annotation of videos,sup. machine learning,96%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,zooming,task-related,activity log,collaboration,coordination,product,manual annotation of videos,sup. machine learning,86%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,zooming,task-related,activity log,collaboration,communication,product,manual annotation of videos,sup. machine learning,86%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,zooming,task-related,activity log,assymetric contribution,coordination,product,manual annotation of videos,sup. machine learning,86%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,zooming,task-related,activity log,cooperation,coordination,product,manual annotation of videos,sup. machine learning,86%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,zooming,task-related,activity log,cooperation,communication,product,manual annotation of videos,sup. machine learning,86%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,1582 audio features (from emobase),audio features,verbal,collaboration,coordination,product,manual annotation of videos,sup. machine learning,96%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,1582 audio features (from emobase),audio features,verbal,collaboration,communication,product,manual annotation of videos,sup. machine learning,96%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,1582 audio features (from emobase),audio features,verbal,cooperation,coordination,product,manual annotation of videos,sup. machine learning,96%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,1582 audio features (from emobase),audio features,verbal,cooperation,communication,product,manual annotation of videos,sup. machine learning,96%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,1582 audio features (from emobase),audio features,verbal,collaboration,coordination,product,manual annotation of videos,sup. machine learning,86%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,1582 audio features (from emobase),audio features,verbal,collaboration,communication,product,manual annotation of videos,sup. machine learning,86%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,1582 audio features (from emobase),audio features,verbal,assymetric contribution,coordination,product,manual annotation of videos,sup. machine learning,86%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,1582 audio features (from emobase),audio features,verbal,cooperation,coordination,product,manual annotation of videos,sup. machine learning,86%
49,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,1582 audio features (from emobase),audio features,verbal,cooperation,communication,product,manual annotation of videos,sup. machine learning,86%
50,Using Interlocutor-Modulated Attention BLSTM to Predict Personality Traits in Small Group Interaction,speech utterances,verbal content,verbal,personality traits,group composition,condition,self-reported survey + perceived interaction scores,sup. machine learning,87.9%
52,Dynamics of Visual Attention in Multiparty Collaborative Problem Solving using Multidimensional Recurrence Quantification Analysis,cross-recurrence quantification analysis (crqa),gaze / eye direction,gaze,construction of shared knowledge,coordination,product,manual annotation of videos,regression,sig
52,Dynamics of Visual Attention in Multiparty Collaborative Problem Solving using Multidimensional Recurrence Quantification Analysis,cross-recurrence quantification analysis (crqa),gaze / eye direction,gaze,task score,performance,product,"expert coding of task, post-test score",regression,nosig
52,Dynamics of Visual Attention in Multiparty Collaborative Problem Solving using Multidimensional Recurrence Quantification Analysis,cross-recurrence quantification analysis (crqa),gaze / eye direction,gaze,team performance,performance,product,self-reported survey,regression,sig
52,Dynamics of Visual Attention in Multiparty Collaborative Problem Solving using Multidimensional Recurrence Quantification Analysis,cross-recurrence quantification analysis (crqa),gaze / eye direction,gaze,task score,performance,product,"expert coding of task, post-test score",regression,nosig
52,Dynamics of Visual Attention in Multiparty Collaborative Problem Solving using Multidimensional Recurrence Quantification Analysis,cross-recurrence quantification analysis (crqa),gaze / eye direction,gaze,team performance,performance,product,self-reported survey,regression,nosig
52,Dynamics of Visual Attention in Multiparty Collaborative Problem Solving using Multidimensional Recurrence Quantification Analysis,multidimensional recurrence quantification analysis (mdrqa),gaze / eye direction,gaze,negotiation,coordination,product,manual annotation of videos,regression,sig
52,Dynamics of Visual Attention in Multiparty Collaborative Problem Solving using Multidimensional Recurrence Quantification Analysis,multidimensional recurrence quantification analysis (mdrqa),gaze / eye direction,gaze,coordination,coordination,product,manual annotation of videos,regression,sig
53,Does Seeing One Another’s Gaze Affect Group Dialogue?,simple linguistic features,verbal content,verbal,learning,learning,product,pre-post test,sup. machine learning,75%
53,Does Seeing One Another’s Gaze Affect Group Dialogue?,convergence (of linguistic styles),verbal content,verbal,learning,learning,product,pre-post test,correlation,nosig
53,Does Seeing One Another’s Gaze Affect Group Dialogue?,convergence (of linguistic styles),verbal content,verbal,collaboration,coordination,product,coding scheme,correlation,nosig
53,Does Seeing One Another’s Gaze Affect Group Dialogue?,convergence (of linguistic styles),verbal content,verbal,collaboration,communication,product,coding scheme,correlation,nosig
53,Does Seeing One Another’s Gaze Affect Group Dialogue?,convergence (of linguistic styles),verbal content,verbal,joint visual attention,coordination,product,calculation,correlation,nosig
53,Does Seeing One Another’s Gaze Affect Group Dialogue?,convergence (of linguistic styles),verbal content,verbal,joint visual attention,communication,product,calculation,correlation,nosig
53,Does Seeing One Another’s Gaze Affect Group Dialogue?,coherence,verbal content,verbal,learning,learning,product,pre-post test,correlation,sig
53,Does Seeing One Another’s Gaze Affect Group Dialogue?,coherence,verbal content,verbal,joint visual attention,coordination,product,calculation,anova,sig
53,Does Seeing One Another’s Gaze Affect Group Dialogue?,coherence,verbal content,verbal,joint visual attention,communication,product,calculation,anova,sig
54,"Emergent leaders through looking and speaking: from
audio-visual data to multimodal recognition","speaking activity (speaking length, speaking turns, speaking interruptions, average speaking turn duration)",speech participation,verbal,perception of leadership and dominance from external observers,interpersonal relationship / perception,process,questionnaire,sup. machine learning,50%
54,"Emergent leaders through looking and speaking: from
audio-visual data to multimodal recognition","speaking activity (speaking length, speaking turns, speaking interruptions, average speaking turn duration)",speech participation,verbal,ranked dominance,interpersonal relationship / perception,process,questionnaire,sup. machine learning,59.1%
54,"Emergent leaders through looking and speaking: from
audio-visual data to multimodal recognition","audio-visual (looking while speaking, looking while listening, being looked while speaking, center of attention while speaking, visual dominance ratio)",gaze / eye direction,gaze,perception of leadership and dominance from external observers,interpersonal relationship / perception,process,questionnaire,sup. machine learning,50%
54,"Emergent leaders through looking and speaking: from
audio-visual data to multimodal recognition","audio-visual (looking while speaking, looking while listening, being looked while speaking, center of attention while speaking, visual dominance ratio)",gaze / eye direction,gaze,ranked dominance,interpersonal relationship / perception,process,questionnaire,sup. machine learning,59.1%
54,"Emergent leaders through looking and speaking: from
audio-visual data to multimodal recognition","audio-visual (looking while speaking, looking while listening, being looked while speaking, center of attention while speaking, visual dominance ratio)",gaze / eye direction,gaze,perception of leadership and dominance from external observers,interpersonal relationship / perception,process,questionnaire,sup. machine learning,50%
54,"Emergent leaders through looking and speaking: from
audio-visual data to multimodal recognition","audio-visual (looking while speaking, looking while listening, being looked while speaking, center of attention while speaking, visual dominance ratio)",gaze / eye direction,gaze,ranked dominance,interpersonal relationship / perception,process,questionnaire,sup. machine learning,59.1%
56,Predicting the Quality of Collaborative Problem Solving Through Linguistic Analysis of Discourse,35 coh-metrix indices,audio features,verbal,learning,learning,product,pre-post test,correlation,sig
56,Predicting the Quality of Collaborative Problem Solving Through Linguistic Analysis of Discourse,35 coh-metrix indices,audio features,verbal,collaboration,coordination,product,meier spada rummel coding scheme,correlation,sig
56,Predicting the Quality of Collaborative Problem Solving Through Linguistic Analysis of Discourse,35 coh-metrix indices,audio features,verbal,collaboration,communication,product,meier spada rummel coding scheme,correlation,sig
56,Predicting the Quality of Collaborative Problem Solving Through Linguistic Analysis of Discourse,35 coh-metrix indices,audio features,verbal,coh-metrix indices,communication,product,computational measures of transcripts,correlation,sig
56,Predicting the Quality of Collaborative Problem Solving Through Linguistic Analysis of Discourse,physical synchrony,gross body motion,body,coh-metrix indices,communication,product,computational measures of transcripts,correlation,sig
56,Predicting the Quality of Collaborative Problem Solving Through Linguistic Analysis of Discourse,physical synchrony,gross body motion,body,collaboration,coordination,product,meier spada rummel coding scheme,sup. machine learning,84%
56,Predicting the Quality of Collaborative Problem Solving Through Linguistic Analysis of Discourse,physical synchrony,gross body motion,body,collaboration,communication,product,meier spada rummel coding scheme,sup. machine learning,84%
56,Predicting the Quality of Collaborative Problem Solving Through Linguistic Analysis of Discourse,physiological synchrony,electrodermal activity,physiological,coh-metrix indices,communication,product,computational measures of transcripts,correlation,sig
56,Predicting the Quality of Collaborative Problem Solving Through Linguistic Analysis of Discourse,joint visual attention,gaze / eye direction,gaze,coh-metrix indices,communication,product,computational measures of transcripts,correlation,sig
57,Shared Experiences of Technology and Trust: An Experimental Study of Physiological Compliance Between Active and Passive Users in Technology-Mediated Collaborative Encounters,sm - eda,electrodermal activity,physiological,performance in task,performance,product,multiattribute task battery program,lme,non-sig
57,Shared Experiences of Technology and Trust: An Experimental Study of Physiological Compliance Between Active and Passive Users in Technology-Mediated Collaborative Encounters,sm - eda,electrodermal activity,physiological,self-rated workload,individual cognitive processes,process,questionnaire (nasa task load index),lme,non-sig
57,Shared Experiences of Technology and Trust: An Experimental Study of Physiological Compliance Between Active and Passive Users in Technology-Mediated Collaborative Encounters,idm - eda,electrodermal activity,physiological,performance in task,performance,product,multiattribute task battery program,lme,non-sig
57,Shared Experiences of Technology and Trust: An Experimental Study of Physiological Compliance Between Active and Passive Users in Technology-Mediated Collaborative Encounters,idm - eda,electrodermal activity,physiological,self-rated workload,individual cognitive processes,process,questionnaire (nasa task load index),lme,non-sig
57,Shared Experiences of Technology and Trust: An Experimental Study of Physiological Compliance Between Active and Passive Users in Technology-Mediated Collaborative Encounters,da - eda,electrodermal activity,physiological,performance in task,performance,product,multiattribute task battery program,lme,sig
57,Shared Experiences of Technology and Trust: An Experimental Study of Physiological Compliance Between Active and Passive Users in Technology-Mediated Collaborative Encounters,da - eda,electrodermal activity,physiological,self-rated workload,individual cognitive processes,process,questionnaire (nasa task load index),lme,non-sig
57,Shared Experiences of Technology and Trust: An Experimental Study of Physiological Compliance Between Active and Passive Users in Technology-Mediated Collaborative Encounters,cc - eda,electrodermal activity,physiological,performance in task,performance,product,multiattribute task battery program,lme,non-sig
57,Shared Experiences of Technology and Trust: An Experimental Study of Physiological Compliance Between Active and Passive Users in Technology-Mediated Collaborative Encounters,cc - eda,electrodermal activity,physiological,self-rated workload,individual cognitive processes,process,questionnaire (nasa task load index),lme,non-sig
57,Shared Experiences of Technology and Trust: An Experimental Study of Physiological Compliance Between Active and Passive Users in Technology-Mediated Collaborative Encounters,wc - eda,electrodermal activity,physiological,performance in task,performance,product,multiattribute task battery program,lme,non-sig
57,Shared Experiences of Technology and Trust: An Experimental Study of Physiological Compliance Between Active and Passive Users in Technology-Mediated Collaborative Encounters,wc - eda,electrodermal activity,physiological,self-rated workload,individual cognitive processes,process,questionnaire (nasa task load index),lme,non-sig
57,Shared Experiences of Technology and Trust: An Experimental Study of Physiological Compliance Between Active and Passive Users in Technology-Mediated Collaborative Encounters,sm - hr,heart rate,physiological,performance in task,performance,product,multiattribute task battery program,lme,non-sig
57,Shared Experiences of Technology and Trust: An Experimental Study of Physiological Compliance Between Active and Passive Users in Technology-Mediated Collaborative Encounters,sm - hr,heart rate,physiological,self-rated workload,individual cognitive processes,process,questionnaire (nasa task load index),lme,non-sig
57,Shared Experiences of Technology and Trust: An Experimental Study of Physiological Compliance Between Active and Passive Users in Technology-Mediated Collaborative Encounters,idm - hr,heart rate,physiological,performance in task,performance,product,multiattribute task battery program,lme,non-sig
57,Shared Experiences of Technology and Trust: An Experimental Study of Physiological Compliance Between Active and Passive Users in Technology-Mediated Collaborative Encounters,idm - hr,heart rate,physiological,self-rated workload,individual cognitive processes,process,questionnaire (nasa task load index),lme,non-sig
57,Shared Experiences of Technology and Trust: An Experimental Study of Physiological Compliance Between Active and Passive Users in Technology-Mediated Collaborative Encounters,da - hr,heart rate,physiological,performance in task,performance,product,multiattribute task battery program,lme,non-sig
